"","URN","Local.authority","Region","Sector_merge","Places","Organisation","Registration.date","overspend_category","outsourcing_category","new_LA_places","new_LA_homes","matched"
"208","SC030967","HARTLEPOOL","North East","Local Authority",8,"Hartlepool Borough Council","17/03/2003",NA,"low-outsourcing",6,2,1
"209","SC033467","NEWCASTLE UPON TYNE","North East","Third sector",8,"St Cuthbert's Care","25/06/2003","low-overspend","low-outsourcing",11,4,1
"210","1274089","LANCASHIRE","North West","Individual owned",4,"Lonsdale Care Ltd","04/05/2018","low-overspend",NA,6,1,1
"211","2624223","HARTLEPOOL","North East","Investment owned",9,"Active Young People Limited","04/03/2021",NA,"low-outsourcing",6,2,1
"212","SC036737","NOTTINGHAMSHIRE","East Midlands","Local Authority",16,"Nottinghamshire County Council","28/11/2003",NA,"high-outsourcing",2,1,1
"213","SC482411","LINCOLNSHIRE","East Midlands","Corporate owned",6,"Hexagon Care Services Ltd","05/12/2014","low-overspend","low-outsourcing",17,3,1
"214","SC483220","CALDERDALE","Yorkshire and The Humber","Investment owned",5,"Compass Childrens Homes Ltd","26/01/2015","high-overspend",NA,3,1,1
"215","SC484302","EAST SUSSEX","South East","Individual owned",2,"Crusoe Care Limited 06843979","06/04/2015","high-overspend",NA,5,1,1
"216","SC486114","LANCASHIRE","North West","Individual owned",4,"Life Change Care Limited","08/07/2015","low-overspend",NA,6,1,1
"217","SC437069","DERBYSHIRE","East Midlands","Local Authority",6,"Derbyshire County Council","09/11/2011","high-overspend",NA,5,2,1
"218","SC437645","LEEDS","Yorkshire and The Humber","Corporate owned",4,"The Partnership Of Care Today","08/02/2012",NA,"low-outsourcing",4,1,1
"219","SC068032","SHROPSHIRE","West Midlands","Investment owned",7,"Branas Isaf (Holdings) Ltd","31/07/2006","high-overspend",NA,8,4,1
"220","2651753","DERBYSHIRE","East Midlands","Individual owned",5,"Arnfield Care Limited","01/10/2021","high-overspend",NA,5,2,1
"221","2653112","LANCASHIRE","North West","Individual owned",3,"Pinnacle Care Provisions Ltd","09/02/2022","low-overspend",NA,6,1,1
"222","2612070","CALDERDALE","Yorkshire and The Humber","Corporate owned",2,"Time-Out Childrens Homes Limited","20/12/2020","high-overspend",NA,3,1,1
"223","2614506","LANCASHIRE","North West","Corporate owned",2,"Hexagon Care Services Ltd","26/02/2021","low-overspend",NA,6,1,1
"224","2570947","GATESHEAD","North East","Local Authority",6,"Gateshead Council","28/01/2020",NA,"low-outsourcing",9,2,1
"225","2509892","DURHAM","North East","Corporate owned",4,"Park Blue Homes Limited","16/07/2020",NA,"low-outsourcing",15,6,1
"226","SC039213","HARINGEY","London","Unidentified for-profit",6,"","18/07/2003","high-overspend",NA,6,1,1
"227","SC036773","GATESHEAD","North East","Local Authority",5,"Gateshead Council","21/05/2003",NA,"low-outsourcing",9,2,1
"228","SC036804","GATESHEAD","North East","Local Authority",6,"Gateshead Council","21/05/2003",NA,"low-outsourcing",9,2,1
"229","2635562","NOTTINGHAMSHIRE","East Midlands","Individual owned",3,"A&m Care Solutions Ltd - T/a Metropolitan Care Solutions","18/03/2021",NA,"high-outsourcing",2,1,1
"230","SC476231","SHROPSHIRE","West Midlands","Investment owned",4,"Cambian Childcare Ltd","14/03/2014","high-overspend",NA,8,4,1
"231","2642400","LANCASHIRE","North West","Corporate owned",1,"Connect Care Solutions Limited","27/07/2021","low-overspend",NA,6,1,1
"232","2645858","LANCASHIRE","North West","Corporate owned",3,"Helpful Investments Limited","07/09/2021","low-overspend",NA,6,1,1
"233","2645897","NOTTINGHAMSHIRE","East Midlands","Individual owned",1,"Safe Haven Adolescent Care Group Ltd","31/08/2021",NA,"high-outsourcing",2,1,1
"234","SC370982","SHROPSHIRE","West Midlands","Local Authority",5,"Shropshire Council","16/06/2008","high-overspend",NA,8,4,1
"235","SC482380","CAMBRIDGESHIRE","East of England","Corporate owned",4,"Keys Direct Care Limited","31/03/2015","low-overspend",NA,17,3,1
"236","1263124","WILTSHIRE","South West","Corporate owned",5,"Autonomy Plus Limited","26/09/2017","low-overspend",NA,3,1,1
"237","2514770","CALDERDALE","Yorkshire and The Humber","Corporate owned",2,"Time-Out Childrens Homes Limited","17/04/2019","high-overspend",NA,3,1,1
"238","2528634","CALDERDALE","Yorkshire and The Humber","Individual owned",3,"Restorative Social Care Services Ltd","20/05/2019","high-overspend",NA,3,1,1
"239","2531620","CAMBRIDGESHIRE","East of England","Individual owned",5,"Higher Hopes Ltd","11/06/2019","low-overspend",NA,17,3,1
"240","2533956","LANCASHIRE","North West","Investment owned",4,"Bay View Child Care Limited","29/05/2019","low-overspend",NA,6,1,1
"241","SC068991","CAMBRIDGESHIRE","East of England","Individual owned",4,"M.J. Childrens Services Limited","15/01/2007","low-overspend",NA,17,3,1
"242","SC069293","CALDERDALE","Yorkshire and The Humber","Corporate owned",2,"Time-Out Childrens Homes Limited","09/02/2007","high-overspend",NA,3,1,1
"243","2495504","DERBYSHIRE","East Midlands","Individual owned",1,"Clouds Children's Care Ltd","09/10/2018","high-overspend",NA,5,2,1
"244","2500044","DERBYSHIRE","East Midlands","Individual owned",2,"Blue Mountain Homes Ltd","13/12/2018","high-overspend",NA,5,2,1
"245","2655408","LANCASHIRE","North West","Individual owned",3,"Gracewells Care Ltd","26/04/2022","low-overspend",NA,6,1,1
"246","2660603","DERBYSHIRE","East Midlands","Corporate owned",3,"Resolute Care LTD","04/11/2021","high-overspend",NA,5,2,1
"247","2663174","YORK","Yorkshire and The Humber","Corporate owned",3,"Hexagon Care Services Ltd","09/03/2022","high-overspend","low-outsourcing",15,3,1
"248","SC382730","SHROPSHIRE","West Midlands","Local Authority",5,"Shropshire Council","17/11/2008","high-overspend",NA,8,4,1
"249","SC038557","NORTH TYNESIDE","North East","Local Authority",5,"North Tyneside Council","06/06/2003","high-overspend","low-outsourcing",11,4,1
"250","2519196","LANCASHIRE","North West","Individual owned",3,"Holywell Children's Services Limited","23/10/2019","low-overspend",NA,6,1,1
"251","SC489610","DERBYSHIRE","East Midlands","Individual owned",3,"Clouds Children's Care Ltd","29/05/2015","high-overspend",NA,5,2,1
"252","SC476990","DERBYSHIRE","East Midlands","Investment owned",7,"Aspris Children's Services Limited","20/06/2014","high-overspend",NA,5,2,1
"253","2666309","EAST SUSSEX","South East","Individual owned",4,"Rubicon Children and Family Services Ltd","07/12/2021","high-overspend",NA,5,1,1
"254","SC066115","LANCASHIRE","North West","Investment owned",4,"Keys ACE Limited","31/05/2006","low-overspend",NA,6,1,1
"255","SC066458","LEEDS","Yorkshire and The Humber","Investment owned",3,"Pebbles Care Limited","30/03/2006",NA,"low-outsourcing",4,1,1
"256","SC035428","LANCASHIRE","North West","Local Authority",1,"Lancashire County Council","05/01/2004","low-overspend",NA,6,1,1
"257","2594902","WILTSHIRE","South West","Investment owned",5,"Witherslack Group Ltd","21/09/2020","low-overspend",NA,3,1,1
"258","2595021","LANCASHIRE","North West","Investment owned",2,"Sandcastle Care Ltd","22/07/2020","low-overspend",NA,6,1,1
"259","SC404596","DERBYSHIRE","East Midlands","LA owned company",24,"The Senad Group Limited","03/12/2009","high-overspend",NA,5,2,1
"260","SC406063","NOTTINGHAMSHIRE","East Midlands","Investment owned",5,"Pathway Care Solutions Ltd","07/04/2010",NA,"high-outsourcing",2,1,1
"261","SC462593","CALDERDALE","Yorkshire and The Humber","Individual owned",4,"G B A Care Limited","17/04/2013","high-overspend",NA,3,1,1
"262","2502176","DURHAM","North East","Individual owned",3,"Nuevavida Ne Ltd","04/01/2019",NA,"low-outsourcing",15,6,1
"263","2703224","DERBYSHIRE","East Midlands","Individual owned",2,"Enabling Futures Ltd","30/09/2022","high-overspend",NA,5,2,1
"264","1275188","LEEDS","Yorkshire and The Humber","Investment owned",1,"Pebbles Care Limited","07/07/2018",NA,"low-outsourcing",4,1,1
"265","SC432741","LANCASHIRE","North West","Individual owned",5,"Hopscotch Care Ltd","30/09/2011","low-overspend",NA,6,1,1
"266","2596476","CAMBRIDGESHIRE","East of England","Investment owned",4,"Keys Child Care Ltd","13/11/2020","low-overspend",NA,17,3,1
"267","2624934","DERBYSHIRE","East Midlands","Corporate owned",7,"Parallel Parents Ltd.","12/05/2021","high-overspend",NA,5,2,1
"268","1244460","LANCASHIRE","North West","Individual owned",5,"Holistic Approach Ltd","15/11/2016","low-overspend",NA,6,1,1
"269","1232649","GATESHEAD","North East","Investment owned",5,"ARTEMIS SUPPORT LIMITED","08/07/2016",NA,"low-outsourcing",9,2,1
"270","SC068243","NORTH TYNESIDE","North East","Local Authority",6,"North Tyneside Council","24/08/2006","high-overspend","low-outsourcing",11,4,1
"271","SC064011","EAST SUSSEX","South East","Corporate owned",4,"My Choice Children's Homes ltd","11/04/2005","high-overspend",NA,5,1,1
"272","SC443708","SHROPSHIRE","West Midlands","Investment owned",4,"Physis Quantum Limited","13/08/2012","high-overspend",NA,8,4,1
"273","2629902","REDCAR AND CLEVELAND","North East","Corporate owned",5,"Young Foundations Limited","27/05/2021","high-overspend","low-outsourcing",6,1,1
"274","SC434573","EAST SUSSEX","South East","Individual owned",2,"Crusoe Care Limited 06843979","24/08/2011","high-overspend",NA,5,1,1
"275","SC039087","LANCASHIRE","North West","Corporate owned",1,"Care Afloat Ltd","14/01/2005","low-overspend",NA,6,1,1
"276","2691185","NOTTINGHAMSHIRE","East Midlands","Third sector",4,"YMCA Robin Hood Group","27/09/2022",NA,"high-outsourcing",2,1,1
"277","2636919","LANCASHIRE","North West","Corporate owned",3,"MY3 Limited","22/11/2021","low-overspend",NA,6,1,1
"278","SC068559","EAST SUSSEX","South East","Individual owned",16,"PJL Healthcare Limited","20/12/2006","high-overspend",NA,5,1,1
"279","SC372602","SHROPSHIRE","West Midlands","Investment owned",3,"Bryn Melyn Care Limited","14/07/2008","high-overspend",NA,8,4,1
"280","SC373941","EAST SUSSEX","South East","Local Authority",4,"East Sussex County Council","20/03/2008","high-overspend",NA,5,1,1
"281","2531921","LANCASHIRE","North West","Investment owned",4,"Horizon Care and Education Group Limited","01/05/2019","low-overspend",NA,6,1,1
"282","2537058","LANCASHIRE","North West","Investment owned",4,"Sandcastle Care Ltd","26/07/2019","low-overspend",NA,6,1,1
"283","2641767","LANCASHIRE","North West","Individual owned",3,"Real Care Support Ltd","21/07/2021","low-overspend",NA,6,1,1
"284","1216505","NEWCASTLE UPON TYNE","North East","Individual owned",5,"Hennessy Living Group Limited","03/02/2016","low-overspend","low-outsourcing",11,4,1
"285","1265128","LANCASHIRE","North West","Investment owned",2,"Sandcastle Care Ltd","14/11/2017","low-overspend",NA,6,1,1
"286","2559013","MEDWAY","South East","Individual owned",8,"Windows For Children Ltd","01/01/2021",NA,"high-outsourcing",6,1,1
"287","SC060750","LANCASHIRE","North West","Individual owned",3,"Lifetime Opportunities Ltd","24/06/2004","low-overspend",NA,6,1,1
"288","2605690","NOTTINGHAMSHIRE","East Midlands","Corporate owned",2,"Homes 2 inspire","30/09/2020",NA,"high-outsourcing",2,1,1
"289","2607587","DURHAM","North East","Investment owned",4,"Cambian Childcare Ltd","11/12/2020",NA,"low-outsourcing",15,6,1
"290","SC403462","LANCASHIRE","North West","Individual owned",5,"Frances House Ltd","08/12/2009","low-overspend",NA,6,1,1
"291","1240397","LINCOLNSHIRE","East Midlands","Corporate owned",5,"Keys Direct Care Limited","03/08/2016","low-overspend","low-outsourcing",17,3,1
"292","2504082","LANCASHIRE","North West","Investment owned",2,"Sandcastle Care Ltd","07/02/2019","low-overspend",NA,6,1,1
"293","2508525","NOTTINGHAMSHIRE","East Midlands","Individual owned",4,"Abbey Green Therapeutic Children's Services Ltd","28/02/2019",NA,"high-outsourcing",2,1,1
"294","1267537","DERBYSHIRE","East Midlands","Corporate owned",3,"Resolute Care LTD","11/12/2017","high-overspend",NA,5,2,1
"295","2685998","LANCASHIRE","North West","Individual owned",2,"Guidance Care Limited","15/07/2022","low-overspend",NA,6,1,1
"296","2686745","NOTTINGHAMSHIRE","East Midlands","Corporate owned",3,"Homes 2 inspire","28/06/2022",NA,"high-outsourcing",2,1,1
"297","SC458754","DURHAM","North East","Third sector",8,"North East Autism Society","01/02/2013",NA,"low-outsourcing",15,6,1
"298","SC394101","NORTH EAST LINCOLNSHIRE","Yorkshire and The Humber","Local Authority",3,"North East Lincolnshire Council","23/06/2009","high-overspend",NA,8,2,1
"299","SC394909","NEWCASTLE UPON TYNE","North East","Individual owned",6,"Right-Trak Limited","24/06/2009","low-overspend","low-outsourcing",11,4,1
"300","SC396721","SHROPSHIRE","West Midlands","Investment owned",1,"Reflexion Care Group Limited","25/06/2009","high-overspend",NA,8,4,1
"301","SC396813","EAST SUSSEX","South East","Third sector",27,"Chailey Heritage Foundation","15/07/2009","high-overspend",NA,5,1,1
"302","SC363384","NOTTINGHAMSHIRE","East Midlands","Investment owned",4,"Keys Educational Services Limited","07/09/2007",NA,"high-outsourcing",2,1,1
"303","SC026910","DORSET","South West","Investment owned",68,"Cambian Autism Services Limited","19/02/2002","high-overspend",NA,10,4,1
"304","SC028460","HARINGEY","London","Unidentified for-profit",4,"","30/04/2002","high-overspend",NA,6,1,1
"305","SC042967","LINCOLNSHIRE","East Midlands","Local Authority",7,"Lincolnshire County Council","20/02/2004","low-overspend","low-outsourcing",17,3,1
"306","SC042994","LINCOLNSHIRE","East Midlands","Local Authority",6,"Lincolnshire County Council","09/10/2003","low-overspend","low-outsourcing",17,3,1
"307","SC044231","LANCASHIRE","North West","Investment owned",4,"Progress Care and Education Limited","10/10/2003","low-overspend",NA,6,1,1
"308","SC390190","NOTTINGHAMSHIRE","East Midlands","Investment owned",3,"Pathway Care Solutions Ltd","30/01/2009",NA,"high-outsourcing",2,1,1
"309","2677619","LANCASHIRE","North West","Corporate owned",3,"Helm Care Services Ltd","27/05/2022","low-overspend",NA,6,1,1
"310","2615005","DURHAM","North East","Investment owned",7,"Witherslack Group Ltd","22/12/2020",NA,"low-outsourcing",15,6,1
"311","2620261","DORSET","South West","Investment owned",3,"Budwood Limited","12/02/2021","high-overspend",NA,10,4,1
"312","1264538","LANCASHIRE","North West","Individual owned",3,"New Horizons (NW) Ltd","17/10/2017","low-overspend",NA,6,1,1
"313","SC442402","LANCASHIRE","North West","Investment owned",2,"ROC Northwest Limited ","15/03/2012","low-overspend",NA,6,1,1
"314","2603668","CAMBRIDGESHIRE","East of England","Local Authority",4,"Cambridgeshire County Council","03/09/2020","low-overspend",NA,17,3,1
"315","SC479596","NORTH EAST LINCOLNSHIRE","Yorkshire and The Humber","Individual owned",7,"Tree House Care Fostering Solutions Ltd","22/07/2014","high-overspend",NA,8,2,1
"316","2646176","DERBYSHIRE","East Midlands","Individual owned",3,"Trauma in Mind Ltd","15/09/2021","high-overspend",NA,5,2,1
"317","SC035976","DERBYSHIRE","East Midlands","Local Authority",4,"Derbyshire County Council","22/12/2003","high-overspend",NA,5,2,1
"318","2707638","LINCOLNSHIRE","East Midlands","Local Authority",5,"Lincolnshire County Council","27/09/2022","low-overspend","low-outsourcing",17,3,1
"319","SC475723","LANCASHIRE","North West","Investment owned",9,"Witherslack Group Ltd","18/12/2014","low-overspend",NA,6,1,1
"320","SC476262","SHROPSHIRE","West Midlands","Investment owned",5,"Cambian Childcare Ltd","09/03/2014","high-overspend",NA,8,4,1
"321","SC476292","SHROPSHIRE","West Midlands","Investment owned",5,"Cambian Childcare Ltd","28/02/2014","high-overspend",NA,8,4,1
"322","SC476868","LANCASHIRE","North West","Corporate owned",4,"Cherish Childrens Care Ltd","28/05/2014","low-overspend",NA,6,1,1
"323","SC482872","WILTSHIRE","South West","Corporate owned",3,"Park Blue Homes Limited","11/12/2014","low-overspend",NA,3,1,1
"324","SC479649","LANCASHIRE","North West","Corporate owned",6,"Hexagon Care Services Ltd","30/11/2014","low-overspend",NA,6,1,1
"325","SC020133","DERBYSHIRE","East Midlands","Individual owned",8,"Arnfield Care Limited","26/06/1997","high-overspend",NA,5,2,1
"326","2595112","LANCASHIRE","North West","Investment owned",2,"Sandcastle Care Ltd","06/08/2020","low-overspend",NA,6,1,1
"327","2601137","DERBYSHIRE","East Midlands","Individual owned",2,"Consistent Quality Support Ltd","22/12/2020","high-overspend",NA,5,2,1
"328","2602142","NORTH TYNESIDE","North East","Local Authority",1,"North Tyneside Council","26/08/2020","high-overspend","low-outsourcing",11,4,1
"329","SC066120","LEEDS","Yorkshire and The Humber","Local Authority",6,"Leeds City Council","12/12/2005",NA,"low-outsourcing",4,1,1
"330","SC373958","EAST SUSSEX","South East","Local Authority",4,"East Sussex County Council","20/03/2008","high-overspend",NA,5,1,1
"331","SC064500","LANCASHIRE","North West","Investment owned",3,"Keys Child Care Ltd","11/01/2006","low-overspend",NA,6,1,1
"332","1227335","LANCASHIRE","North West","Corporate owned",3,"Exceptional Care Limited","27/05/2016","low-overspend",NA,6,1,1
"333","1229417","MIDDLESBROUGH","North East","Investment owned",1,"Cambian Childcare Ltd","05/04/2016","high-overspend",NA,6,2,1
"334","1213416","SHROPSHIRE","West Midlands","Investment owned",2,"Reflexion Care Group Limited","24/11/2015","high-overspend",NA,8,4,1
"335","SC033645","NEWCASTLE UPON TYNE","North East","Local Authority",6,"Newcastle City Council","09/04/2003","low-overspend","low-outsourcing",11,4,1
"336","SC034241","LINCOLNSHIRE","East Midlands","Investment owned",55,"Kisimul Group Ltd","27/12/2002","low-overspend","low-outsourcing",17,3,1
"337","SC034953","CALDERDALE","Yorkshire and The Humber","Local Authority",5,"Calderdale Council","05/08/2003","high-overspend",NA,3,1,1
"338","SC035247","DURHAM","North East","Local Authority",7,"Durham County Council","05/09/2003",NA,"low-outsourcing",15,6,1
"339","SC439153","CAMBRIDGESHIRE","East of England","Third sector",4,"Break","01/02/2012","low-overspend",NA,17,3,1
"340","SC470479","DORSET","South West","Investment owned",4,"Beaufort care Group","08/01/2014","high-overspend",NA,10,4,1
"341","1253975","LANCASHIRE","North West","Individual owned",2,"Oaktree Childcare Ltd","26/06/2017","low-overspend",NA,6,1,1
"342","2683445","LINCOLNSHIRE","East Midlands","Investment owned",3,"Cambian Childcare Ltd","17/05/2022","low-overspend","low-outsourcing",17,3,1
"343","SC033370","LEEDS","Yorkshire and The Humber","Local Authority",5,"Leeds City Council","17/07/2003",NA,"low-outsourcing",4,1,1
"344","2534185","DERBYSHIRE","East Midlands","Corporate owned",4,"Care 4 Every Child Ltd","26/10/2019","high-overspend",NA,5,2,1
"345","2535166","WILTSHIRE","South West","Investment owned",3,"Aspris Children's Services Limited","06/08/2019","low-overspend",NA,3,1,1
"346","1252095","CALDERDALE","Yorkshire and The Humber","Individual owned",2,"Restorative Social Care Services Ltd","28/02/2017","high-overspend",NA,3,1,1
"347","1254308","DERBYSHIRE","East Midlands","Corporate owned",5,"Homes 2 inspire","24/05/2017","high-overspend",NA,5,2,1
"348","1254864","NOTTINGHAMSHIRE","East Midlands","Corporate owned",3,"Homes 2 inspire","24/05/2017",NA,"high-outsourcing",2,1,1
"349","SC044562","LINCOLNSHIRE","East Midlands","Investment owned",39,"Kisimul Group Ltd","25/07/2003","low-overspend","low-outsourcing",17,3,1
"350","SC370910","CAMBRIDGESHIRE","East of England","Investment owned",3,"Keys Care Limited","15/02/2008","low-overspend",NA,17,3,1
"351","SC376719","SHROPSHIRE","West Midlands","Investment owned",2,"Reflexion Care Group Limited","26/06/2008","high-overspend",NA,8,4,1
"352","SC464958","SHROPSHIRE","West Midlands","Investment owned",6,"Cambian Childcare Ltd","07/08/2013","high-overspend",NA,8,4,1
"353","2593579","HARINGEY","London","Individual owned",5,"Sunrise Hill Care Ltd","04/08/2020","high-overspend",NA,6,1,1
"354","2614703","LANCASHIRE","North West","Individual owned",4,"New Horizons (NW) Ltd","11/01/2021","low-overspend",NA,6,1,1
"355","1155780","SHROPSHIRE","West Midlands","Investment owned",4,"Cambian Childcare Ltd","16/11/2015","high-overspend",NA,8,4,1
"356","1278966","DERBYSHIRE","East Midlands","Investment owned",6,"Smoothstone Care & Education","20/08/2018","high-overspend",NA,5,2,1
"357","2490994","NOTTINGHAMSHIRE","East Midlands","Individual owned",3,"Jigsaw Therapeutic Care Limited","13/02/2019",NA,"high-outsourcing",2,1,1
"358","2497538","CAMBRIDGESHIRE","East of England","Corporate owned",5,"Heartwood RSC Ltd","15/02/2019","low-overspend",NA,17,3,1
"359","1235384","LANCASHIRE","North West","Individual owned",2,"New Horizons (NW) Ltd","12/08/2016","low-overspend",NA,6,1,1
"360","1240844","LANCASHIRE","North West","Investment owned",2,"Your Chapter Holdings Limited","16/02/2017","low-overspend",NA,6,1,1
"361","SC362094","SHROPSHIRE","West Midlands","Investment owned",2,"Keys Nhcc Ltd","19/11/2007","high-overspend",NA,8,4,1
"362","SC363422","LINCOLNSHIRE","East Midlands","Investment owned",3,"Keys Educational Services Limited","10/09/2007","low-overspend","low-outsourcing",17,3,1
"363","1240884","LANCASHIRE","North West","Investment owned",2,"Your Chapter Holdings Limited","24/10/2016","low-overspend",NA,6,1,1
"364","1241782","LANCASHIRE","North West","Local Authority",6,"Lancashire County Council","14/12/2016","low-overspend",NA,6,1,1
"365","1244117","NOTTINGHAMSHIRE","East Midlands","Third sector",5,"Caldecott Foundation Limited","01/12/2016",NA,"high-outsourcing",2,1,1
"366","1244287","LANCASHIRE","North West","Investment owned",5,"ROC Northwest Limited ","11/10/2016","low-overspend",NA,6,1,1
"367","1248773","DURHAM","North East","Individual owned",3,"Resilience North East Limited","23/02/2017",NA,"low-outsourcing",15,6,1
"368","1262657","LANCASHIRE","North West","Investment owned",2,"Sandcastle Care Ltd","18/09/2017","low-overspend",NA,6,1,1
"369","SC476236","SHROPSHIRE","West Midlands","Investment owned",4,"Cambian Childcare Ltd","24/04/2014","high-overspend",NA,8,4,1
"370","2517184","DURHAM","North East","Corporate owned",2,"ROC Family Support Ltd","21/03/2019",NA,"low-outsourcing",15,6,1
"371","SC450728","CALDERDALE","Yorkshire and The Humber","Corporate owned",2,"Time-Out Childrens Homes Limited","13/08/2012","high-overspend",NA,3,1,1
"372","SC370899","LINCOLNSHIRE","East Midlands","Investment owned",3,"Keys Care Limited","15/02/2008","low-overspend","low-outsourcing",17,3,1
"373","SC458415","DURHAM","North East","Third sector",6,"North East Autism Society","30/01/2013",NA,"low-outsourcing",15,6,1
"374","SC031220","CALDERDALE","Yorkshire and The Humber","Investment owned",6,"Compass Childrens Homes Ltd","24/09/2002","high-overspend",NA,3,1,1
"375","SC032439","WILTSHIRE","South West","Local Authority",7,"Wiltshire Council","19/02/2004","low-overspend",NA,3,1,1
"376","1244161","DERBYSHIRE","East Midlands","Individual owned",1,"Blue Mountain Homes Ltd","19/09/2016","high-overspend",NA,5,2,1
"377","SC006013","LANCASHIRE","North West","Corporate owned",1,"Care Afloat Ltd","20/06/2001","low-overspend",NA,6,1,1
"378","1233307","NEWCASTLE UPON TYNE","North East","Local Authority",6,"Newcastle City Council","28/11/2016","low-overspend","low-outsourcing",11,4,1
"379","2636225","CALDERDALE","Yorkshire and The Humber","Individual owned",2,"Gravitas Care LTD","23/12/2021","high-overspend",NA,3,1,1
"380","2640099","LANCASHIRE","North West","Investment owned",3,"Northridge Care Group Ltd","21/07/2021","low-overspend",NA,6,1,1
"381","2644456","CAMBRIDGESHIRE","East of England","Individual owned",4,"Juventas Services Limited","17/09/2021","low-overspend",NA,17,3,1
"382","2644925","LANCASHIRE","North West","Corporate owned",4,"Exceptional Care Limited","09/11/2021","low-overspend",NA,6,1,1
"383","SC457089","SHROPSHIRE","West Midlands","Investment owned",2,"Cambian Childcare Ltd","16/01/2013","high-overspend",NA,8,4,1
"384","2661511","LANCASHIRE","North West","Individual owned",4,"Brinscall Care Limited","19/04/2022","low-overspend",NA,6,1,1
"385","2662751","LANCASHIRE","North West","Individual owned",1,"Holywell Children's Services Limited","31/01/2022","low-overspend",NA,6,1,1
"386","1259061","LANCASHIRE","North West","Individual owned",2,"Outbound Care Limited","08/09/2017","low-overspend",NA,6,1,1
"387","2670262","LANCASHIRE","North West","Individual owned",4,"New Horizons (NW) Ltd","08/04/2022","low-overspend",NA,6,1,1
"388","SC031410","EAST SUSSEX","South East","Local Authority",7,"East Sussex County Council","31/07/2003","high-overspend",NA,5,1,1
"389","2502314","SHROPSHIRE","West Midlands","Investment owned",3,"Cambian Childcare Ltd","29/01/2019","high-overspend",NA,8,4,1
"390","2508601","LANCASHIRE","North West","Corporate owned",3,"MY3 Limited","11/04/2019","low-overspend",NA,6,1,1
"391","2509280","CALDERDALE","Yorkshire and The Humber","Investment owned",2,"Sandcastle Care Ltd","05/03/2019","high-overspend",NA,3,1,1
"392","2544217","NOTTINGHAMSHIRE","East Midlands","Individual owned",5,"Absolute Childrens Services Ltd","18/07/2019",NA,"high-outsourcing",2,1,1
"393","2596541","LANCASHIRE","North West","Investment owned",2,"Sandcastle Care Ltd","29/10/2020","low-overspend",NA,6,1,1
"394","2689544","LANCASHIRE","North West","Corporate owned",3,"Cherish Childrens Care Ltd","06/06/2022","low-overspend",NA,6,1,1
"395","2694962","LANCASHIRE","North West","Individual owned",2,"Trinity Care and Education Services Ltd","05/09/2022","low-overspend",NA,6,1,1
"396","SC407430","WILTSHIRE","South West","Investment owned",4,"Wessex College Limited","22/04/2010","low-overspend",NA,3,1,1
"397","SC359836","LANCASHIRE","North West","Local Authority",6,"Lancashire County Council","05/09/2007","low-overspend",NA,6,1,1
"398","SC033457","LEEDS","Yorkshire and The Humber","Local Authority",24,"Leeds City Council","10/07/2003",NA,"low-outsourcing",4,1,1
"399","SC482415","LEEDS","Yorkshire and The Humber","Individual owned",4,"Keir Lock Children's Homes Ltd","09/10/2015",NA,"low-outsourcing",4,1,1
"400","1271222","LANCASHIRE","North West","Individual owned",5,"GS Social Care Solutions Ltd","25/01/2018","low-overspend",NA,6,1,1
"401","SC448209","SHROPSHIRE","West Midlands","Individual owned",12,"Amberleigh Care Limited","27/07/2012","high-overspend",NA,8,4,1
"402","2618541","LANCASHIRE","North West","Investment owned",2,"Cambian Childcare Ltd","15/02/2021","low-overspend",NA,6,1,1
"403","2613032","HARTLEPOOL","North East","Individual owned",5,"Hennessy Living Group Limited","09/12/2020",NA,"low-outsourcing",6,2,1
"404","1159868","DORSET","South West","Investment owned",3,"Cambian Childcare Ltd","29/10/2015","high-overspend",NA,10,4,1
"405","1212117","NOTTINGHAMSHIRE","East Midlands","Investment owned",3,"Pathway Care Solutions Ltd","01/12/2015",NA,"high-outsourcing",2,1,1
"406","1221700","LANCASHIRE","North West","Corporate owned",5,"Hexagon Care Services Ltd","02/02/2016","low-overspend",NA,6,1,1
"407","2593046","CALDERDALE","Yorkshire and The Humber","Individual owned",2,"Laska Care And Education Ltd","20/08/2020","high-overspend",NA,3,1,1
"408","1228919","EAST SUSSEX","South East","Corporate owned",2,"Anderida Adolescent Care Ltd","29/03/2016","high-overspend",NA,5,1,1
"409","1270744","EAST SUSSEX","South East","Individual owned",4,"HEADSTART RESIDENTIAL CARE LTD","22/02/2018","high-overspend",NA,5,1,1
"410","1271213","LANCASHIRE","North West","Investment owned",4,"Your Chapter LTD","18/05/2018","low-overspend",NA,6,1,1
"411","SC038564","NORTH TYNESIDE","North East","Local Authority",5,"North Tyneside Council","25/06/2003","high-overspend","low-outsourcing",11,4,1
"412","2584899","REDCAR AND CLEVELAND","North East","Individual owned",4,"Invested Childcare LTD","18/06/2020","high-overspend","low-outsourcing",6,1,1
"413","SC490364","DERBYSHIRE","East Midlands","Individual owned",4,"Blue Mountain Homes Ltd","09/10/2015","high-overspend",NA,5,2,1
"414","SC462591","CALDERDALE","Yorkshire and The Humber","Individual owned",3,"G B A Care Limited","17/04/2013","high-overspend",NA,3,1,1
"415","2501397","NOTTINGHAMSHIRE","East Midlands","Investment owned",1,"Esland North Limited","03/12/2018",NA,"high-outsourcing",2,1,1
