"","URN","Local.authority","Sector_merge","Places","Organisation","Registration.date","overspend_category","outsourcing_category","matched"
"842","SC034851","ROCHDALE","Local Authority",5,"Rochdale Metropolitan Borough Council","19/09/2003",NA,"low-outsourcing",1
"843","2588486","BOURNEMOUTH CHRISTCHURCH AND POOLE","Investment owned",3,"Beaufort care Group","05/05/2020",NA,NA,1
"844","2588753","KENT","Corporate owned",6,"Acorn Homes (UK) Ltd","06/07/2020",NA,NA,1
"845","2589392","LANCASHIRE","Investment owned",3,"Horizon Care and Education Group Limited","01/05/2020","low-overspend",NA,1
"846","2590405","STAFFORDSHIRE","Individual owned",3,"5ab Care Ltd","13/07/2020",NA,NA,1
"847","2590408","STAFFORDSHIRE","Individual owned",3,"Country Care Childrens Homes Ltd","19/08/2020",NA,NA,1
"848","2592228","WEST NORTHAMPTONSHIRE","Individual owned",2,"BTTLR LIMITED","02/07/2020",NA,NA,1
"849","SC018241","BARNSLEY","Investment owned",4,"Dove Adolescent Services Limited","27/09/2000",NA,NA,1
"850","SC059755","WILTSHIRE","Corporate owned",5,"Five Rivers Child Care Limited","03/02/2004","low-overspend",NA,1
"851","SC060554","STAFFORDSHIRE","Corporate owned",3,"Mulberry House Care Homes Limited","28/05/2004",NA,NA,1
"852","1274846","CAMBRIDGESHIRE","Individual owned",6,"Parkview Care (Broadstairs) Limited","28/06/2018","low-overspend",NA,1
"853","1277380","NORTH YORKSHIRE","Investment owned",5,"ROC Northwest Limited ","22/06/2018","low-overspend","low-outsourcing",1
"854","1278873","ESSEX","Individual owned",6,"Mig House Residential Care Home Ltd","24/09/2018",NA,NA,1
"855","1278968","LANCASHIRE","Local Authority",4,"Lancashire County Council","10/08/2018","low-overspend",NA,1
"856","2554036","WIRRAL","Individual owned",2,"New Beginnings Young Peoples Care And Support Services Ltd","09/06/2020",NA,NA,1
"857","2554918","CHESHIRE EAST","Investment owned",3,"Horizon Care and Education Group Limited","19/11/2019",NA,NA,1
"858","SC060590","CHESHIRE EAST","Investment owned",3,"Castle Homes Care Limited","20/09/2004",NA,NA,1
"859","2555505","LINCOLNSHIRE","Individual owned",6,"Aspiration House Limited","01/04/2020","low-overspend","low-outsourcing",1
"860","2557064","BLACKPOOL","Individual owned",2,"A-Triangle Care Ltd","17/08/2020",NA,NA,1
"861","2559023","CUMBRIA","Investment owned",2,"Sandcastle Care Ltd","04/03/2020",NA,NA,1
"862","SC439282","KENT","Local Authority",4,"Kent County Council","20/02/2012",NA,NA,1
"863","SC439882","DERBYSHIRE","Local Authority",6,"Derbyshire County Council","31/01/2012","high-overspend",NA,1
"864","SC441865","NOTTINGHAMSHIRE","Third sector",3,"Shyne Together Limited","29/07/2012",NA,"high-outsourcing",1
"865","SC432966","BIRMINGHAM","Individual owned",4,"N H Care Limited","27/07/2011","low-overspend",NA,1
"866","SC362170","STOKE ON TRENT","Individual owned",3,"Searchlight Care Services Ltd","17/01/2008",NA,NA,1
"867","SC030967","HARTLEPOOL","Local Authority",8,"Hartlepool Borough Council","17/03/2003",NA,"low-outsourcing",1
"868","SC032069","LEICESTERSHIRE","Third sector",8,"Praxis Care","01/08/2002","low-overspend",NA,1
"869","SC032502","HILLINGDON","Local Authority",13,"The London Borough of Hillingdon","17/11/2003",NA,"high-outsourcing",1
"870","SC032565","STOKE ON TRENT","Local Authority",6,"Stoke On Trent City Council","16/06/2003",NA,NA,1
"871","SC033326","KIRKLEES","Local Authority",4,"Kirklees Council","07/10/2003",NA,NA,1
"872","SC033362","PETERBOROUGH","Local Authority",4,"Peterborough City & Cambridgeshire County Councils","09/06/2003","low-overspend",NA,1
"873","SC033467","NEWCASTLE UPON TYNE","Third sector",8,"St Cuthbert's Care","25/06/2003","low-overspend","low-outsourcing",1
"874","SC033492","BRADFORD","Local Authority",7,"City of Bradford Metropolitan District Council","26/06/2003","high-overspend",NA,1
"875","1273497","BIRMINGHAM","Third sector",3,"Birmingham Children's Trust Community Interest Company","20/03/2018","low-overspend",NA,1
"876","1274089","LANCASHIRE","Individual owned",4,"Lonsdale Care Ltd","04/05/2018","low-overspend",NA,1
"877","2595340","BRENT","Corporate owned",4,"Champion Children (fig Tree) Limited","13/07/2020",NA,"high-outsourcing",1
"878","SC008607","STOCKPORT","Corporate owned",2,"The Partnership Of Care Today","02/07/2001",NA,"low-outsourcing",1
"879","SC486479","WEST BERKSHIRE","Investment owned",5,"Aspris Children's Services Limited","16/04/2015",NA,NA,1
"880","2624223","HARTLEPOOL","Investment owned",9,"Active Young People Limited","04/03/2021",NA,"low-outsourcing",1
"881","2624711","ST HELENS","Investment owned",1,"Cambian Childcare Ltd","25/02/2021",NA,NA,1
"882","2627088","LEICESTER","Corporate owned",4,"Paramount Children Care Ltd","18/03/2021",NA,NA,1
"883","2629097","OXFORDSHIRE","Corporate owned",3,"Homes 2 inspire","09/04/2021",NA,NA,1
"884","2629861","KENT","Investment owned",4,"Compass Childrens Homes Ltd","13/08/2021",NA,NA,1
"885","2630796","KENT","Investment owned",4,"Compass Childrens Homes Ltd","01/02/2022",NA,NA,1
"886","SC036737","NOTTINGHAMSHIRE","Local Authority",16,"Nottinghamshire County Council","28/11/2003",NA,"high-outsourcing",1
"887","SC033808","WAKEFIELD","Local Authority",7,"Wakefield Council","08/09/2003",NA,NA,1
"888","SC008487","STOCKPORT","Corporate owned",6,"The Partnership Of Care Today","18/01/1993",NA,"low-outsourcing",1
"889","SC008575","STOCKPORT","Third sector",5,"The Together Trust","10/11/2000",NA,"low-outsourcing",1
"890","1184093","BLACKPOOL","Investment owned",3,"Sandcastle Care Ltd","22/12/2015",NA,NA,1
"891","1212094","SALFORD","Corporate owned",4,"Hexagon Care Services Ltd","09/02/2016",NA,"low-outsourcing",1
"892","1221357","BLACKPOOL","Corporate owned",4,"Hexagon Care Services Ltd","09/06/2016",NA,NA,1
"893","1224093","HERTFORDSHIRE","Investment owned",4,"Keys BR Limited","04/11/2015",NA,NA,1
"894","1225371","WARRINGTON","Investment owned",2,"Cambian Childcare Ltd","27/04/2016",NA,NA,1
"895","1226612","ESSEX","Individual owned",4,"Harmony Residential Homes Ltd ","15/07/2016",NA,NA,1
"896","2604092","PLYMOUTH","Individual owned",2,"Phoenix Childcare Ltd","15/10/2020",NA,NA,1
"897","SC482411","LINCOLNSHIRE","Corporate owned",6,"Hexagon Care Services Ltd","05/12/2014","low-overspend","low-outsourcing",1
"898","SC483220","CALDERDALE","Investment owned",5,"Compass Childrens Homes Ltd","26/01/2015","high-overspend",NA,1
"899","SC484302","EAST SUSSEX","Individual owned",2,"Crusoe Care Limited 06843979","06/04/2015","high-overspend",NA,1
"900","SC484671","BEDFORD","Individual owned",4,"Benjamin UK Ltd","04/03/2015",NA,"high-outsourcing",1
"901","SC485423","HAMPSHIRE","Corporate owned",5,"The Serendipity Centre Limited","27/03/2015",NA,NA,1
"902","SC486114","LANCASHIRE","Individual owned",4,"Life Change Care Limited","08/07/2015","low-overspend",NA,1
"903","SC068803","KENT","Individual owned",4,"Ethelbert Specialist Homes Limited","21/11/2006",NA,NA,1
"904","SC069178","SUFFOLK","Investment owned",6,"Inroads Essex Limited","12/02/2007",NA,NA,1
"905","SC069198","BURY","Corporate owned",3,"Meadows Care Limited","06/03/2007",NA,NA,1
"906","SC065535","LAMBETH","Individual owned",6,"S P Homes Limited","30/09/2005","high-overspend","high-outsourcing",1
"907","SC065730","DERBY","Local Authority",10,"Derby City Council","23/02/2006",NA,"high-outsourcing",1
"908","SC065883","NORFOLK","Local Authority",9,"Norfolk County Council","14/10/2005",NA,NA,1
"909","SC066010","SHEFFIELD","Individual owned",4,"Quality Protects Children Ltd","21/02/2006",NA,NA,1
"910","SC437069","DERBYSHIRE","Local Authority",6,"Derbyshire County Council","09/11/2011","high-overspend",NA,1
"911","SC437645","LEEDS","Corporate owned",4,"The Partnership Of Care Today","08/02/2012",NA,"low-outsourcing",1
"912","SC066179","DEVON","Individual owned",5,"Phoenix Childcare Ltd","09/02/2006",NA,NA,1
"913","SC066242","SEFTON","Individual owned",2,"Progressive Futures Care Limited","30/03/2006","high-overspend",NA,1
"914","SC066393","BIRMINGHAM","Investment owned",3,"Cambian Childcare Ltd","18/01/2006","low-overspend",NA,1
"915","SC066469","SHEFFIELD","Investment owned",3,"Keys Care Limited","12/01/2006",NA,NA,1
"916","SC066565","NORTH LINCOLNSHIRE","Investment owned",26,"Options Autism (1) Limited","18/07/2006","low-overspend","low-outsourcing",1
"917","SC068032","SHROPSHIRE","Investment owned",7,"Branas Isaf (Holdings) Ltd","31/07/2006","high-overspend",NA,1
"918","SC068664","BARNSLEY","Corporate owned",5,"The Partnership Of Care Today","13/02/2007",NA,NA,1
"919","SC357077","NOTTINGHAM","Investment owned",4,"Pathway Care Solutions Ltd","13/06/2007",NA,NA,1
"920","SC472325","STAFFORDSHIRE","Corporate owned",2,"Aspireone Care Ltd","25/01/2014",NA,NA,1
"921","2647775","EALING","Corporate owned",1,"The Beeches UK Limited","15/11/2021",NA,NA,1
"922","2648508","ST HELENS","Corporate owned",3,"MY3 Limited","18/01/2022",NA,NA,1
"923","2651405","ROTHERHAM","Individual owned",1,"Advanced Adolescent Care Solutions Ltd","10/12/2021",NA,NA,1
"924","2651753","DERBYSHIRE","Individual owned",5,"Arnfield Care Limited","01/10/2021","high-overspend",NA,1
"925","2653112","LANCASHIRE","Individual owned",3,"Pinnacle Care Provisions Ltd","09/02/2022","low-overspend",NA,1
"926","2655354","STAFFORDSHIRE","Investment owned",6,"Reflexion Care Group Limited","17/12/2021",NA,NA,1
"927","2655778","STAFFORDSHIRE","Individual owned",3,"High View Children's Services Limited","16/05/2022",NA,NA,1
"928","2612070","CALDERDALE","Corporate owned",2,"Time-Out Childrens Homes Limited","20/12/2020","high-overspend",NA,1
"929","2614506","LANCASHIRE","Corporate owned",2,"Hexagon Care Services Ltd","26/02/2021","low-overspend",NA,1
"930","2578355","COVENTRY","Investment owned",4,"Horizon Care and Education Group Limited","30/07/2020",NA,NA,1
"931","2583142","BEDFORD","Individual owned",3,"Cornerways Care Ltd","17/06/2020",NA,"high-outsourcing",1
"932","2585129","HAMPSHIRE","Investment owned",3,"Aspris Children's Services Limited","06/05/2020",NA,NA,1
"933","SC415138","STAFFORDSHIRE","Local Authority",6,"Staffordshire County Council","12/07/2010",NA,NA,1
"934","SC416267","ROCHDALE","Corporate owned",2,"Time-Out Childrens Homes Limited","27/09/2010",NA,"low-outsourcing",1
"935","2569163","DONCASTER","Individual owned",2,"Future 19 Social Care Limited","13/03/2020",NA,NA,1
"936","2569358","SUNDERLAND","Corporate owned",3,"HMO NE LTD","20/05/2020",NA,"low-outsourcing",1
"937","2570071","HAMPSHIRE","Investment owned",6,"Compass Childrens Homes Ltd","26/02/2020",NA,NA,1
"938","2570947","GATESHEAD","Local Authority",6,"Gateshead Council","28/01/2020",NA,"low-outsourcing",1
"939","1250039","LEICESTERSHIRE","Investment owned",4,"The Place Young People's Company","02/03/2017","low-overspend",NA,1
"940","1252023","LEICESTERSHIRE","Individual owned",3,"T-Junction Children's Services Ltd","07/06/2017","low-overspend",NA,1
"941","1252937","WEST SUSSEX","Investment owned",4,"Compass Childrens Homes Ltd","02/03/2017",NA,NA,1
"942","SC065374","STOCKPORT","Individual owned",5,"Care Haven (UK) Ltd","03/08/2005",NA,"low-outsourcing",1
"943","SC066072","OLDHAM","Corporate owned",3,"Meadows Care Limited","27/01/2006",NA,"low-outsourcing",1
"944","SC066481","HAMPSHIRE","Corporate owned",5,"Fairways Care (UK) Limited","26/02/2006",NA,NA,1
"945","SC066651","SHEFFIELD","Local Authority",6,"Sheffield City Council","30/03/2006",NA,NA,1
"946","2508513","CUMBRIA","Local Authority",6,"Cumberland Council","22/01/2019",NA,NA,1
"947","2509892","DURHAM","Corporate owned",4,"Park Blue Homes Limited","16/07/2020",NA,"low-outsourcing",1
"948","2510315","PETERBOROUGH","Corporate owned",3,"Semi-Independent House Limited","10/06/2019","low-overspend",NA,1
"949","2515609","COVENTRY","Investment owned",2,"Progress Children's Services Limited","21/02/2019",NA,NA,1
"950","2519269","WOLVERHAMPTON","Investment owned",2,"New Futures (children) Services","05/07/2019",NA,NA,1
"951","2523025","BIRMINGHAM","Investment owned",6,"Compass Childrens Homes Ltd","09/07/2019","low-overspend",NA,1
"952","2527654","WIRRAL","Individual owned",2,"Hapin Care Ltd","05/07/2019",NA,NA,1
"953","SC473639","CAMDEN","Investment owned",10,"Area Camden Limited ","07/02/2014","low-overspend",NA,1
"954","SC474179","STAFFORDSHIRE","Corporate owned",4,"Haven Care Group Ltd","29/04/2014",NA,NA,1
"955","1253008","DONCASTER","Investment owned",2,"Esland North Limited","08/06/2017",NA,NA,1
"956","1253716","WEST SUSSEX","Investment owned",4,"Compass Childrens Homes Ltd","22/02/2017",NA,NA,1
"957","1254837","SUNDERLAND","Third sector",6,"Together for Children Sunderland Limited","31/03/2017",NA,"low-outsourcing",1
"958","1255745","WEST NORTHAMPTONSHIRE","Corporate owned",5,"Homes 2 inspire","24/05/2017",NA,NA,1
"959","1256660","SOUTHEND ON SEA","Investment owned",5,"Pathways Care Group","07/06/2018",NA,NA,1
"960","SC063683","MANCHESTER","Local Authority",6,"Manchester City Council","16/12/2005",NA,NA,1
"961","SC063794","STAFFORDSHIRE","Investment owned",3,"Esland North Limited","11/05/2005",NA,NA,1
"962","SC478152","SOMERSET","Investment owned",4,"Phoenix Learning & Care Holdings Limited","05/03/2015",NA,NA,1
"963","SC478852","STAFFORDSHIRE","Individual owned",3,"Roundhouse Care Limited","25/06/2014",NA,NA,1
"964","SC480594","STAFFORDSHIRE","Individual owned",4,"Crystal Care Solutions Limited","29/09/2014",NA,NA,1
"965","SC482275","CORNWALL","Investment owned",4,"Pathway Care Solutions Group Limited","14/11/2014",NA,NA,1
"966","SC482296","OXFORDSHIRE","Investment owned",8,"Hillcrest Children's Services Ltd","22/09/2014",NA,NA,1
"967","2603750","WOLVERHAMPTON","Individual owned",3,"Support and Sustain Care Ltd","30/07/2021",NA,NA,1
"968","2606062","MANCHESTER","Corporate owned",3,"Paramount Children's Services Ltd","11/01/2021",NA,NA,1
"969","2595791","SOMERSET","Corporate owned",3,"Empower Residentials Limited","20/10/2020",NA,NA,1
"970","SC039213","HARINGEY","Unidentified for-profit",6,"","18/07/2003","high-overspend",NA,1
"971","SC384018","ESSEX","Corporate owned",4,"SureCare Residential Ltd","05/11/2008",NA,NA,1
"972","SC410535","BIRMINGHAM","Individual owned",3,"Positive Pathways Limited","19/07/2010","low-overspend",NA,1
"973","SC413085","KENT","Investment owned",3,"Castle Homes Limited","23/06/2010",NA,NA,1
"974","SC040631","SURREY","Local Authority",4,"Surrey County Council","18/11/2003",NA,NA,1
"975","SC040719","BOLTON","Local Authority",3,"Bolton Metropolitan Borough Council","18/07/2003",NA,"low-outsourcing",1
"976","SC040785","SEFTON","Individual owned",2,"PIC Children's Services Limited","05/03/2003","high-overspend",NA,1
"977","SC036240","DERBY","Local Authority",6,"Derby City Council","13/11/2003",NA,"high-outsourcing",1
"978","SC036773","GATESHEAD","Local Authority",5,"Gateshead Council","21/05/2003",NA,"low-outsourcing",1
"979","SC036804","GATESHEAD","Local Authority",6,"Gateshead Council","21/05/2003",NA,"low-outsourcing",1
"980","2523027","READING","Individual owned",1,"Kennet Care Limited","08/07/2019",NA,"high-outsourcing",1
"981","2625585","WEST NORTHAMPTONSHIRE","Individual owned",4,"Children & Adolescents Placement Provisions Ltd","26/02/2021",NA,NA,1
"982","2626773","HERTFORDSHIRE","Local Authority",3,"Hertfordshire County Council","03/02/2021",NA,NA,1
"983","2629230","WOLVERHAMPTON","Corporate owned",2,"Stepping Stones Care (Midlands) Limited","08/06/2021",NA,NA,1
"984","2633410","CORNWALL","Local Authority",3,"Cornwall Council","10/05/2021",NA,NA,1
"985","2633818","LIVERPOOL","Third sector",3,"Positive Homes for Positive Futures ltd","16/07/2021",NA,NA,1
"986","2635269","LIVERPOOL","Individual owned",2,"Vita Spirit Limited","27/10/2021",NA,NA,1
"987","2635562","NOTTINGHAMSHIRE","Individual owned",3,"A&m Care Solutions Ltd - T/a Metropolitan Care Solutions","18/03/2021",NA,"high-outsourcing",1
"988","SC472977","BRADFORD","Local Authority",1,"City of Bradford Metropolitan District Council","30/01/2014","high-overspend",NA,1
"989","SC473329","WEST BERKSHIRE","Individual owned",5,"Amegreen Children's Services Limited","17/12/2013",NA,NA,1
"990","SC475323","STAFFORDSHIRE","Investment owned",3,"Horizon Care and Education Group Limited","06/02/2014",NA,NA,1
"991","SC476231","SHROPSHIRE","Investment owned",4,"Cambian Childcare Ltd","14/03/2014","high-overspend",NA,1
"992","2594543","BARNSLEY","Individual owned",4,"Keswick Care Limited","08/07/2020",NA,NA,1
"993","2642400","LANCASHIRE","Corporate owned",1,"Connect Care Solutions Limited","27/07/2021","low-overspend",NA,1
"994","2643361","ENFIELD","Individual owned",3,"Carterhatch Homes Limited","20/12/2021",NA,NA,1
"995","2643709","BEDFORD","Individual owned",3,"Williams Welfare Ltd","14/12/2021",NA,"high-outsourcing",1
"996","2645858","LANCASHIRE","Corporate owned",3,"Helpful Investments Limited","07/09/2021","low-overspend",NA,1
"997","2645897","NOTTINGHAMSHIRE","Individual owned",1,"Safe Haven Adolescent Care Group Ltd","31/08/2021",NA,"high-outsourcing",1
"998","SC020859","WALSALL","Investment owned",6,"Progress Children's Services Limited","03/11/2021",NA,NA,1
"999","SC363630","BARNSLEY","Investment owned",3,"Castle Homes Care Limited","25/01/2008",NA,NA,1
"1000","SC370982","SHROPSHIRE","Local Authority",5,"Shropshire Council","16/06/2008","high-overspend",NA,1
"1001","SC372117","ROCHDALE","Corporate owned",3,"Meadows Care Limited","13/06/2008",NA,"low-outsourcing",1
"1002","SC482299","HAMPSHIRE","Investment owned",10,"Hillcrest Children's Services Ltd","22/09/2014",NA,NA,1
"1003","SC482300","WEST SUSSEX","Investment owned",6,"Hillcrest Children's Services Ltd","22/09/2014",NA,NA,1
"1004","SC482380","CAMBRIDGESHIRE","Corporate owned",4,"Keys Direct Care Limited","31/03/2015","low-overspend",NA,1
"1005","1258386","KENT","Individual owned",3,"Parkview Care (Broadstairs) Limited","04/09/2017",NA,NA,1
"1006","1263124","WILTSHIRE","Corporate owned",5,"Autonomy Plus Limited","26/09/2017","low-overspend",NA,1
"1007","1263329","STAFFORDSHIRE","Individual owned",1,"Albrighton Care Limited","13/09/2017",NA,NA,1
"1008","1264016","WALTHAM FOREST","Individual owned",6,"Care 2 Share Ltd","07/09/2017",NA,NA,1
"1009","1266267","WOLVERHAMPTON","Investment owned",6,"Progress Children's Services Limited","08/05/2018",NA,NA,1
"1010","1268535","WOLVERHAMPTON","Individual owned",3,"Horizon Transitional Care Limited","02/07/2018",NA,NA,1
"1011","2509838","BOLTON","Individual owned",3,"Holistic Approach Ltd","13/02/2019",NA,"low-outsourcing",1
"1012","2510604","BURY","Investment owned",4,"Nestlings Care Ltd","04/07/2019",NA,NA,1
"1013","2514770","CALDERDALE","Corporate owned",2,"Time-Out Childrens Homes Limited","17/04/2019","high-overspend",NA,1
"1014","2515370","OXFORDSHIRE","Corporate owned",2,"Homes 2 inspire","23/04/2019",NA,NA,1
"1015","2528634","CALDERDALE","Individual owned",3,"Restorative Social Care Services Ltd","20/05/2019","high-overspend",NA,1
"1016","2531620","CAMBRIDGESHIRE","Individual owned",5,"Higher Hopes Ltd","11/06/2019","low-overspend",NA,1
"1017","2532532","SUFFOLK","Corporate owned",2,"CF Support Services Limited","18/07/2019",NA,NA,1
"1018","2533956","LANCASHIRE","Investment owned",4,"Bay View Child Care Limited","29/05/2019","low-overspend",NA,1
"1019","SC068991","CAMBRIDGESHIRE","Individual owned",4,"M.J. Childrens Services Limited","15/01/2007","low-overspend",NA,1
"1020","SC069176","TAMESIDE","Individual owned",5,"Oakfields Children's Care Limited","02/03/2007",NA,NA,1
"1021","SC069293","CALDERDALE","Corporate owned",2,"Time-Out Childrens Homes Limited","09/02/2007","high-overspend",NA,1
"1022","SC356565","WOLVERHAMPTON","Individual owned",2,"Eagle Children's Home","12/03/2008",NA,NA,1
"1023","SC356929","KNOWSLEY","Individual owned",3,"Quality Protects Children Ltd","28/03/2007","low-overspend",NA,1
"1024","1241776","WARWICKSHIRE","Corporate owned",4,"Hexagon Care Services Ltd","16/02/2017",NA,NA,1
"1025","1027158","NORFOLK","Corporate owned",6,"Unique Care Homes Support Limited","04/09/2015",NA,NA,1
"1026","1155757","NORTHUMBERLAND","Local Authority",3,"Northumberland County Council","18/05/2015",NA,"low-outsourcing",1
"1027","1155775","MANCHESTER","Investment owned",1,"Cambian Childcare Ltd","24/09/2015",NA,NA,1
"1028","2495504","DERBYSHIRE","Individual owned",1,"Clouds Children's Care Ltd","09/10/2018","high-overspend",NA,1
"1029","2496251","SEFTON","Corporate owned",4,"Family Care Associates Limited","05/11/2018","high-overspend",NA,1
"1030","2500044","DERBYSHIRE","Individual owned",2,"Blue Mountain Homes Ltd","13/12/2018","high-overspend",NA,1
"1031","2537149","NORTH SOMERSET","Third sector",4,"Action for Children","05/09/2019",NA,NA,1
"1032","2614738","SANDWELL","Individual owned",4,"Clear Water Care Homes Ltd","16/06/2021",NA,NA,1
"1033","2614999","WEST NORTHAMPTONSHIRE","Individual owned",3,"GAC Family Services Ltd","26/02/2021",NA,NA,1
"1034","2617499","ESSEX","Individual owned",5,"Harmony Residential Homes Ltd ","27/01/2021",NA,NA,1
"1035","2617923","CORNWALL","Investment owned",2,"Cambian Childcare Ltd","31/03/2021",NA,NA,1
"1036","2621193","BLACKPOOL","Individual owned",2,"North West Youth Services Limited","18/12/2020",NA,NA,1
"1037","2622077","WALSALL","Investment owned",4,"Pathways Care Group","10/05/2021",NA,NA,1
"1038","2623004","BOLTON","Investment owned",1,"Cambian Childcare Ltd","01/03/2021",NA,"low-outsourcing",1
"1039","1269966","BARKING AND DAGENHAM","Third sector",5,"Restoration Care & Services Limited","16/02/2018",NA,NA,1
"1040","2655408","LANCASHIRE","Individual owned",3,"Gracewells Care Ltd","26/04/2022","low-overspend",NA,1
"1041","2656172","BIRMINGHAM","Corporate owned",3,"Bright Life Living (Stirchley) Ltd","05/01/2022","low-overspend",NA,1
"1042","2657553","BEXLEY","Individual owned",3,"Elite Children's Care Group Ltd","08/02/2022",NA,NA,1
"1043","2660603","DERBYSHIRE","Corporate owned",3,"Resolute Care LTD","04/11/2021","high-overspend",NA,1
"1044","2661371","BRIGHTON AND HOVE","Individual owned",3,"Nelbro Group Limited","24/01/2022",NA,NA,1
"1045","2662847","ST HELENS","Investment owned",1,"Cambian Childcare Ltd","24/12/2021",NA,NA,1
"1046","2663174","YORK","Corporate owned",3,"Hexagon Care Services Ltd","09/03/2022","high-overspend","low-outsourcing",1
"1047","SC000803","DARLINGTON","Individual owned",3,"Pear Tree Projects Limited","28/06/2001",NA,NA,1
"1048","SC477939","ROCHDALE","Corporate owned",3,"Meadows Care Limited","03/06/2014",NA,"low-outsourcing",1
"1049","SC382730","SHROPSHIRE","Local Authority",5,"Shropshire Council","17/11/2008","high-overspend",NA,1
"1050","SC037256","SUFFOLK","Local Authority",7,"Suffolk County Council","17/03/2003",NA,NA,1
"1051","SC037588","PORTSMOUTH","Local Authority",6,"Portsmouth City Council","06/10/2003",NA,"low-outsourcing",1
"1052","SC037670","KNOWSLEY","Local Authority",2,"Knowsley Metropolitan Borough Council","04/02/2003","low-overspend",NA,1
"1053","SC038557","NORTH TYNESIDE","Local Authority",5,"North Tyneside Council","06/06/2003","high-overspend","low-outsourcing",1
"1054","SC039056","LEICESTER","Local Authority",9,"Leicester City Council","31/03/2003",NA,NA,1
"1055","SC023736","KENT","Individual owned",3,"Ethelbert Specialist Homes Limited","17/07/2001",NA,NA,1
"1056","SC024808","HEREFORDSHIRE","Investment owned",4,"Keys Education Ltd","06/04/1994","high-overspend",NA,1
"1057","SC010699","ENFIELD","Unidentified for-profit",5,"","27/12/2001",NA,NA,1
"1058","SC013143","OXFORDSHIRE","Third sector",6,"Barnardo's","01/01/2001",NA,NA,1
"1059","SC037762","PORTSMOUTH","Local Authority",5,"Portsmouth City Council","06/10/2003",NA,"low-outsourcing",1
"1060","SC038276","CUMBRIA","Investment owned",48,"Underley Schools Limited","23/06/2003",NA,NA,1
"1061","SC038719","HAMPSHIRE","Local Authority",16,"Hampshire County Council","31/03/2004",NA,NA,1
"1062","2519196","LANCASHIRE","Individual owned",3,"Holywell Children's Services Limited","23/10/2019","low-overspend",NA,1
"1063","SC063284","ST HELENS","Unidentified for-profit",5,"Building Bridges Care Homes Ltd","08/06/2005",NA,NA,1
"1064","SC064050","KIRKLEES","Investment owned",3,"Keys BR Limited","14/06/2005",NA,NA,1
"1065","SC417250","WEST BERKSHIRE","Individual owned",5,"Calcot Services for Children Limited","22/10/2010",NA,NA,1
"1066","SC037302","WARRINGTON","Local Authority",3,"Warrington Borough Council","19/09/2003",NA,NA,1
"1067","SC489610","DERBYSHIRE","Individual owned",3,"Clouds Children's Care Ltd","29/05/2015","high-overspend",NA,1
"1068","1159272","NORTH YORKSHIRE","Investment owned",4,"Cambian Childcare Ltd","07/10/2015","low-overspend","low-outsourcing",1
"1069","1183799","SLOUGH","Corporate owned",4,"Quality Care Homes (uk) Limited","25/11/2015","low-overspend",NA,1
"1070","SC476286","LEICESTERSHIRE","Investment owned",5,"Cambian Childcare Ltd","09/05/2014","low-overspend",NA,1
"1071","SC476990","DERBYSHIRE","Investment owned",7,"Aspris Children's Services Limited","20/06/2014","high-overspend",NA,1
"1072","2613806","REDBRIDGE","Corporate owned",5,"Solace Care Redbridge Ltd","15/12/2020",NA,"high-outsourcing",1
"1073","2615342","WARWICKSHIRE","Investment owned",7,"Witherslack Group Ltd","16/12/2020",NA,NA,1
"1074","2616993","ESSEX","Corporate owned",3,"CF Support Services Limited","14/12/2021",NA,NA,1
"1075","2624155","WOLVERHAMPTON","Individual owned",3,"Resi-Action Staffordshire Ltd","20/10/2021",NA,NA,1
"1076","2666309","EAST SUSSEX","Individual owned",4,"Rubicon Children and Family Services Ltd","07/12/2021","high-overspend",NA,1
"1077","2666653","HERTFORDSHIRE","Individual owned",3,"Jeeves Care Group Ltd","04/05/2022",NA,NA,1
"1078","2667746","WARRINGTON","Individual owned",5,"Birchwood Children's Services Ltd","13/05/2022",NA,NA,1
"1079","SC387671","OLDHAM","Local Authority",7,"Oldham Metropolitan Borough Council","27/02/2009",NA,"low-outsourcing",1
"1080","SC387684","BEXLEY","Investment owned",6,"Esland South Limited","19/03/2009",NA,NA,1
"1081","SC389698","BEDFORD","Investment owned",3,"Oracle Care Limited","27/01/2009",NA,"high-outsourcing",1
"1082","SC389823","BOLTON","Investment owned",5,"Courtyard Care Limited","11/05/2009",NA,"low-outsourcing",1
"1083","SC066055","SOMERSET","Local Authority",2,"Somerset County Council","27/02/2006",NA,NA,1
"1084","SC066115","LANCASHIRE","Investment owned",4,"Keys ACE Limited","31/05/2006","low-overspend",NA,1
"1085","SC066187","BIRMINGHAM","Investment owned",3,"Cambian Childcare Ltd","06/02/2006","low-overspend",NA,1
"1086","SC066458","LEEDS","Investment owned",3,"Pebbles Care Limited","30/03/2006",NA,"low-outsourcing",1
"1087","SC035428","LANCASHIRE","Local Authority",1,"Lancashire County Council","05/01/2004","low-overspend",NA,1
"1088","1183574","CHESHIRE WEST AND CHESTER","Local Authority",4,"Cheshire West And Chester Council","10/01/2016",NA,NA,1
"1089","2591911","DERBY","Individual owned",3,"Sunlight Children's Care Limited","16/06/2020",NA,"high-outsourcing",1
"1090","2591916","WIGAN","Corporate owned",1,"Future Focused Ltd","20/07/2020","high-overspend",NA,1
"1091","2592781","SEFTON","Individual owned",2,"Pelican Care Group Ltd","19/06/2020","high-overspend",NA,1
